color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;im super bad gr;Epic;3bc49d5e7260481fb31bdfff730be92e;23;Octane;343;481;2;0;2;2;6;1;1;100;477;47.28;2567;1837;730;22;64;626;365;261;4;22;62.31;24.71;409;372;34;1655;531485;110.08;32.36;185.83;54.63;44.24;13.01;201.39;59.21;108.93;32.02;29.83;8.77;8.49;0.1;89;149.6;89.1;3281;3247;3331;3936;256.42;75.38;83.73;24.62;216.67;63.7;123.48;36.3;152.12;44.72;112.74;33.15;75.28;22.13;2;1
blue;;Finny. a&;Steam;76561199060630228;23;Octane;343;396;1;1;0;4;6;1;0;25;388;36.6;2121;1559;562;17;49;338;100;238;1;21;60.15;35.99;250;149;0;1532;499352;150.32;43.83;141.52;41.26;51.13;14.91;156.88;45.74;153.83;44.85;32.26;9.41;4.87;0.12;41;102.3;108.5;2770;2906;2639;3834;262.46;76.53;80.51;23.47;204.02;59.49;138.95;40.51;150.86;43.99;112.58;32.83;79.52;23.19;0;0
blue;;WestyzWorld;Steam;76561198369905223;4284;Fennec;343;162;0;0;1;5;6;1;0;0;366;52.28;2245;1571;674;20;58;559;283;276;4;23;45.91;39.04;233;437;116;1604;521045;135.47;39.49;146.87;42.81;60.74;17.7;195.39;56.95;125.43;36.56;22.26;6.49;6.22;0.08;81;82.9;134;3038;3021;3072;3957;235.96;68.78;107.11;31.22;192.01;55.97;151.07;44.03;117.28;34.18;131.24;38.25;94.56;27.56;0;0
orange;;reset;Steam;76561198216558745;4284;Fennec;343;406;1;0;3;3;11;3;0;33.33;452;54.33;2587;1894;693;23;62;610;380;230;5;21;27.4;40.35;604;406;120;1661;537083;126.77;37.05;151.32;44.23;64.04;18.72;213.95;62.54;112.9;33;15.27;4.46;3.08;0.11;27;100.5;124.6;3143;2806;3498;3879;218.88;63.98;123.24;36.02;225.04;65.78;117.08;34.22;166.14;48.56;108.04;31.58;67.94;19.86;0;0
orange;;PlacementPeter.0;Epic;6c71c5cd24124221b0ba3a79848ca632;4284;Fennec;343;377;0;1;3;1;11;3;3;0;402;51.05;2236;1533;703;18;66;225;100;125;1;11;27.78;44.75;267;301;0;1602;519607;140.96;41.08;147.42;42.97;54.73;15.95;179.9;52.43;135.29;39.43;27.92;8.14;4.8;0.14;34;128.4;93.3;3120;2946;3315;3917;249.31;72.66;93.81;27.34;251.64;73.34;91.47;26.66;179.36;52.27;125.73;36.64;38.02;11.08;1;0
orange;;Erddogyy;Steam;76561199055701501;4284;Fennec;343;142;0;0;0;2;11;3;0;0;328;49.8;1858;1393;465;18;41;175;67;108;2;9;28.72;22.55;212;215;0;1468;466562;171.4;50.85;135.7;40.26;29.97;8.89;207.14;61.45;111.12;32.97;18.82;5.58;10.07;0.1;98;106.5;113.4;2965;2780;3159;3735;240.63;71.39;96.44;28.61;221.97;65.85;115.1;34.15;165.12;48.99;115.55;34.28;56.41;16.73;0;2
