color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;TEAM VIRTUE;394;1327;4;4;3;11;8;3;36.36;1205;146.98;7586;5634;1952;63;180;1733;1203;530;14;49;159.37;111.16;921;738;198;1720936;500.55;476.49;198.41;637.95;475.28;62.21;17.26;195;874.86;300.59;759.14;416.31;554.98;393.43;227.03;154.21;170.63;3;2
orange;INFINITE BLUE;394;1380;3;3;7;8;11;4;37.5;1205;141.24;7535;5614;1921;66;172;1629;1066;563;12;51;118.04;107.62;865;828;154;1664610;542.05;462.81;166.88;682.13;424.57;65.02;22.01;200;782.81;388.93;747.52;424.23;541.62;387.79;242.33;149.84;187.88;2;3
