color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;;370;1084;3;3;1;6;9;4;50;1211;147.09;7462;5015;2447;62;216;1764;1067;697;13;60;128.63;107.57;914;1169;239;1590891;485.19;426.25;182.17;603.61;398.41;91.59;22.77;217;734.08;359.54;741.83;351.79;533.51;369.6;190.52;134.35;188.26;7;4
orange;;370;1179;4;4;1;9;6;3;44.44;1313;146.21;7534;5074;2460;62;220;1817;1024;793;14;65;104.16;71.56;1196;1109;320;1588730;455.93;429.69;199.57;599.57;403.79;81.84;16.29;194;810.72;274.47;683.95;401.24;484.13;366.93;234.14;134.56;145.84;4;7
