color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;ULTIMATES;343;1235;3;3;6;10;10;1;30;1219;147.06;7075;4661;2414;56;209;1384;656;728;9;63;127.36;95.21;1123;962;168;1531664;453.27;390.43;183.38;560.63;392.71;73.74;20.97;191;766.05;261.03;657.58;369.5;488.09;328.42;210.56;127.11;154.02;3;1
orange;TEAM EVO;343;1110;1;1;6;10;10;3;10;1368;153.19;7688;5734;1954;67;180;1751;1137;614;13;57;128.44;108.46;1008;1035;185;1574852;383.51;458.26;176.58;552.8;378.3;87.26;19.4;189;674.71;343.65;605.55;412.81;433.89;342.85;241.63;156.86;169.07;1;3
