color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;9LIVES;337;926;2;2;3;12;5;1;16.67;1267;156.41;6803;4899;1904;59;173;2331;1544;787;17;72;117.75;156.63;996;1054;201;1446534;461.02;381.77;154.69;548.08;369.97;79.45;23.25;239;680.88;316.61;532.38;465.1;363.01;330.83;303.65;154.87;140.59;4;3
orange;NAC;337;933;1;1;7;5;12;2;20;1235;143.24;6721;4435;2286;54;204;1544;980;564;12;53;88.47;76.12;1056;1001;232;1448812;459.99;382.52;149.74;570.66;359.15;62.44;14.49;145;681.75;310.49;713.15;279.09;548.02;281.24;162.99;140.69;181.06;3;4
