color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;;565;1607;3;3;7;9;11;4;33.33;1347;145.83;12296;8169;4127;96;357;2017;1121;896;13;78;246.18;152.46;1776;1336;199;2535935;670.56;669.02;327.04;821.63;712.9;132.1;27.94;315;1173.5;493.13;1173.32;493.3;865.93;519.46;281.22;248.63;304.46;9;9
orange;;565;1459;4;2;4;11;9;3;36.36;1333;157.69;12551;8563;3988;108;355;3170;1801;1369;20;121;156.03;161.09;2377;2348;229;2628193;610.74;677.38;376.63;915.16;649.97;99.61;29.54;288;1199.77;464.98;1004.59;660.16;709.15;569.59;386.01;227.02;224.97;9;9
