color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;ULTIMATES;766;1854;2;1;9;12;14;1;16.67;1249;148.45;15913;10264;5649;121;484;3654;1799;1855;21;169;275.07;274.19;1606;2038;376;3415728;1004.45;949.56;318.87;1242.04;846.22;184.63;49.82;483;1664.53;608.36;1278.91;993.98;855.88;849.2;567.81;372.97;329.11;5;9
orange;NRG ESPORTS;766;1914;1;1;8;14;12;2;7.14;1261;148.85;15945;10669;5276;132;412;3656;2186;1470;26;115;291.54;223.45;2419;2648;430;3445342;992.15;897.96;393.47;1168.75;905.17;209.68;42.22;368;1589.55;694.03;1577.96;705.63;1196.29;681.99;405.3;351.67;422.34;9;5
