color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;9LIVES;365;1238;2;2;9;4;14;4;50;1165;133.11;6461;4112;2349;46;212;1410;757;653;8;58;153.2;115.75;928;569;47;1606471;470.73;417.94;199.93;590.71;437.92;59.99;19.98;247;721.05;367.56;740.72;347.89;554.63;334.04;199.93;134.47;193.98;6;2
orange;TEAM EVO;365;1209;4;3;2;14;4;2;28.57;1319;155.68;8117;5770;2347;73;205;2504;1553;951;18;78;99.64;129.09;1175;1517;251;1609027;441.23;451.79;185.62;617.62;387.09;73.93;20.64;207;797.94;280.7;636.4;442.25;446.26;365.99;266.4;155.76;140.2;2;6
