color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;COMPLEXITY;364;1595;5;4;6;10;10;2;50;1114;149.93;6811;4356;2455;54;224;1538;932;606;10;55;75.52;141.16;995;943;93;1521907;521.79;390.52;173.79;604.65;404.58;76.87;22.27;181;854.31;231.78;816.4;269.71;632.48;315.42;138.19;125.95;188.87;7;2
orange;ULTIMATES;364;947;2;2;4;10;10;5;20;1332;154.94;7864;5283;2581;68;217;2113;1127;986;15;76;91.14;115.84;1339;1482;321;1637064;413.01;418.05;237.17;595.04;382.2;90.99;19.77;202;731.58;336.65;594.83;473.4;407.62;367.77;292.84;140.83;141.78;2;7
