color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;;352;1292;4;2;4;7;5;1;57.14;1266;152.19;7339;5422;1917;69;167;2379;1823;556;20;52;138.17;97.56;1105;1449;192;1564366;455.13;428.61;169.11;571.63;413.23;67.97;21.23;207;724.04;328.78;664.35;388.49;498.52;314.52;239.8;155;183.4;7;1
orange;;352;641;1;0;1;5;7;4;20;1209;144.6;6843;4562;2281;53;210;2230;1378;852;16;77;113.33;104.9;821;843;256;1540710;441.58;406.38;185.8;529.55;429.13;75.08;17.96;168;696.7;337.05;585.83;447.93;415.55;364.52;253.68;134.6;145.41;1;7
