color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;DELETED GAMING;370;1545;5;5;4;14;6;2;35.71;1338;144.94;8053;5676;2377;72;206;1795;1165;630;14;56;125.4;95.98;1032;1547;243;1594595;474.97;448.75;172.01;610;404.11;81.61;30.37;327;866.79;228.92;670.27;425.44;473.85;390.01;231.87;148.59;140.51;3;4
orange;OMELETTE;370;1211;2;1;9;6;14;5;33.33;1335;133.12;8316;5531;2785;65;236;1697;1035;662;12;60;133.58;87.83;1199;1009;167;1703353;407.67;424.68;267.78;578.63;444.57;76.95;21.81;210;749.39;350.75;790.12;310.01;616.65;326.26;157.22;137.22;194.39;4;3
