color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;;346;1165;2;2;6;4;9;1;50;1092;151.72;6214;4008;2206;50;189;910;510;400;7;38;128.23;117.87;717;938;149;1429979;513.08;370.2;132.19;579.12;353.65;82.69;19.42;200;727.95;287.51;791.05;224.41;611.4;290.42;113.64;125.47;205.65;2;7
orange;;346;746;1;1;2;9;4;2;11.11;1382;154.1;7784;5457;2327;66;206;2560;1471;1089;17;92;134.12;96.12;1116;1203;284;1604926;381.65;473.3;176.89;573.83;369.51;88.5;24.62;218;709.43;322.41;495.07;536.77;318.68;395.04;318.13;178.96;125.5;7;2
