color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;;342;994;1;1;5;5;10;3;20;1238;139.43;6876;4579;2297;54;180;1598;685;913;9;62;97.38;98.38;1292;667;154;1524845;420.37;409.08;183.07;584.21;371.48;56.83;18.74;185;678.84;333.69;613.08;399.44;442.14;347.94;222.44;128.78;163.91;0;5
orange;;342;1161;3;1;4;10;5;1;30;1245;144.2;7118;4513;2605;54;226;1874;1082;792;13;71;128.64;83.3;957;994;239;1546581;423.92;414.52;189.15;537.1;428.49;62;18.3;170;728.99;298.59;635.89;391.7;478.25;305.36;243.97;155.21;158.38;5;0
