color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;;326;1040;3;3;0;12;1;0;25;1358;148.53;7179;4873;2306;63;196;2251;1292;959;16;78;103.21;84.37;1496;1321;326;1600777;296.27;430.63;230.73;522.28;371.76;63.6;16.93;163;718.28;239.37;531.65;425.99;352.32;332.03;273.29;147.06;108.97;9;6
orange;;326;961;0;0;6;1;12;3;0;1214;146.39;6254;4392;1862;56;165;1405;968;437;11;42;125.98;109.93;907;982;111;1404958;432.59;368.04;151.35;529.76;358.37;63.83;22.55;248;623.64;328.33;701.51;250.46;539.52;272.47;139.97;140.94;204.65;6;9
